Date,High,Low,Open,Close,Volume,Adj Close
2010/6/29,25,17.54000092,19,23.88999939,18766300,23.88999939
2010/6/30,30.42000008,23.29999924,25.79000092,23.82999992,17187100,23.82999992
2010/7/1,25.92000008,20.27000046,25,21.95999908,8218800,21.95999908
2010/7/2,23.10000038,18.70999908,23,19.20000076,5139800,19.20000076
2010/7/6,20,15.82999992,20,16.11000061,6866900,16.11000061
2010/7/7,16.62999916,14.97999954,16.39999962,15.80000019,6921700,15.80000019
2010/7/8,17.52000046,15.56999969,16.13999939,17.45999908,7711400,17.45999908
2010/7/9,17.89999962,16.54999924,17.57999992,17.39999962,4050600,17.39999962
2010/7/12,18.06999969,17,17.95000076,17.04999924,2202500,17.04999924
2010/7/13,18.63999939,16.89999962,17.38999939,18.13999939,2680100,18.13999939
2010/7/14,20.14999962,17.76000023,17.94000053,19.84000015,4195200,19.84000015
2010/7/15,21.5,19,19.94000053,19.88999939,3739800,19.88999939
2010/7/16,21.29999924,20.04999924,20.70000076,20.63999939,2621300,20.63999939
2010/7/19,22.25,20.92000008,21.37000084,21.90999985,2486500,21.90999985
2010/7/20,21.85000038,20.04999924,21.85000038,20.29999924,1825300,20.29999924
2010/7/21,20.89999962,19.5,20.65999985,20.21999931,1252500,20.21999931
2010/7/22,21.25,20.37000084,20.5,21,957800,21
2010/7/23,21.55999947,21.05999947,21.19000053,21.29000092,653600,21.29000092
2010/7/26,21.5,20.29999924,21.5,20.95000076,922200,20.95000076
2010/7/27,21.18000031,20.26000023,20.90999985,20.54999924,619700,20.54999924
2010/7/28,20.89999962,20.51000023,20.54999924,20.71999931,467200,20.71999931
2010/7/29,20.87999916,20,20.77000046,20.35000038,616000,20.35000038
2010/7/30,20.44000053,19.54999924,20.20000076,19.94000053,426900,19.94000053
2010/8/2,20.96999931,20.32999992,20.5,20.92000008,718100,20.92000008
2010/8/3,21.95000076,20.81999969,21,21.95000076,1230500,21.95000076
2010/8/4,22.18000031,20.85000038,21.95000076,21.26000023,913000,21.26000023
2010/8/5,21.54999924,20.04999924,21.54000092,20.45000076,796200,20.45000076
2010/8/6,20.15999985,19.52000046,20.10000038,19.59000015,741900,19.59000015
2010/8/9,19.97999954,19.45000076,19.89999962,19.60000038,812700,19.60000038
2010/8/10,19.64999962,18.81999969,19.64999962,19.03000069,1281300,19.03000069
2010/8/11,18.87999916,17.85000038,18.69000053,17.89999962,797600,17.89999962
2010/8/12,17.89999962,17.38999939,17.79999924,17.60000038,691000,17.60000038
