_id,bathroom_num,bedroom_num,bizcircle_name,city,dist,distance,frame_orientation,hall_num,house_tag,house_title,rent_area,rent_price_listing,rent_price_unit,resblock_name,type
5c726d72397be4c5251d639c,1,1,香雪,广州,增城,387.0,北,0,近地铁 新上,锐丰中心 1室0厅 2100元https://m.lianjia.com/chuzu/gz/zufang/GZ2197705394942918656.html,48,2100,元/月,锐丰中心,整租
5c726ac4397be4c5251d5ba3,1,1,开发东区,广州,增城,,东 东南 南 西南 西 西北 北 东北,0,独栋公寓,尔必公寓 东湾街八巷10号 23106单间 开间https://m.lianjia.com/chuzu/gz/apartment/layout/101071.html,20,450,元/月,,整租
5c71ce79397be4c5251bf1e8,1,2,沙园,广州,海珠,591.0,南,1,近地铁,整租 ·   荔福路西基东 楼梯两房 交通便利https://m.lianjia.com/chuzu/gz/zufang/GZ2156483996186312704.html,42,2000,元/月,荔福路西基东,整租
5c724924397be4c5251d0c0b,2,3,金沙洲,广州,白云,344.0,西南,2,近地铁,保利西子湾 3室2厅 4200元https://m.lianjia.com/chuzu/gz/zufang/GZ2193345291472871424.html,98,4200,元/月,保利西子湾,整租
5c724132397be4c5251cf40a,1,2,市桥,广州,番禺,,西,2,,西环路裕兴大厦 2室2厅 2200元https://m.lianjia.com/chuzu/gz/zufang/GZ2170076755929604096.html,81,2200,元/月,西环路裕兴大厦,整租
5c71c3d0397be4c5251bd0d6,1,1,龙溪,广州,荔湾,,南,1,独栋公寓 月租 拎包入住 近地铁,梦之家公馆 龙溪安居公寓三期店 实习生特价一房一厅https://m.lianjia.com/chuzu/gz/apartment/layout/79515.html,31,700,元/月,,整租
5c7275ee397be4c5251d7b99,1,5,新港西,广州,海珠,660.0,北,1,公寓 月租 近地铁 精装 独立阳台,合租 · 翔韵雅居 5室1厅https://m.lianjia.com/chuzu/gz/zufang/GZ2128798121801818112.html,15,1880,元/月,翔韵雅居,合租
5c72228a397be4c5251ca446,1,2,大坦沙,广州,荔湾,985.0,东南,2,,珠岛花园 2室2厅 3500元https://m.lianjia.com/chuzu/gz/zufang/GZ2138146101671231488.html,80,3500,元/月,珠岛花园,整租
5c727693397be4c5251d7cab,2,5,金洲,广州,南沙,554.0,东,1,公寓 月租 近地铁 精装 随时看房,合租 · 越秀滨海隽城 5室1厅https://m.lianjia.com/chuzu/gz/zufang/GZ2154096927409709056.html,18,780,元/月,越秀滨海隽城,合租
5c71fe02397be4c5251c40ac,1,2,科学城,广州,增城,,东南 南,1,独栋公寓 月租 近地铁,爱加公寓 香雪五期 两房一厅舒适型 二居+https://m.lianjia.com/chuzu/gz/apartment/layout/57647.html,58,1700,元/月,,整租
5c72183f397be4c5251c8c41,1,2,机场路,广州,白云,755.0,南,1,近地铁,矿泉大厦 2室1厅 2800元https://m.lianjia.com/chuzu/gz/zufang/GZ2172920007426572288.html,76,2800,元/月,矿泉大厦,整租
5c724a09397be4c5251d0ee1,2,3,金沙洲,广州,白云,,东南,2,,恒大御景半岛 3室2厅 3800元https://m.lianjia.com/chuzu/gz/zufang/GZ2133805523676971008.html,97,3800,元/月,恒大御景半岛,整租
5c71bcf6397be4c5251bbe0b,1,2,东山口,广州,越秀,245.0,南 北,1,近地铁 随时看房,小东园 2室1厅 4200元https://m.lianjia.com/chuzu/gz/zufang/GZ2047502815450382336.html,58,4200,元/月,小东园,整租
5c722839397be4c5251cb193,1,2,南岸路,广州,荔湾,771.0,南,2,近地铁,环翠园 2室2厅 2200元https://m.lianjia.com/chuzu/gz/zufang/GZ2085235562821713920.html,62,2200,元/月,环翠园,整租
5c72738e397be4c5251d7541,2,4,天河公园,广州,天河,,北,1,公寓 限女生 月租 随时看房,合租 · 华港花园 4室1厅https://m.lianjia.com/chuzu/gz/zufang/GZ2143894772807639040.html,13,2100,元/月,华港花园,合租
5c725e8a397be4c5251d3dcc,1,2,新市,广州,白云,,南,1,随时看房,棠安公安宿舍 2室1厅 3000元https://m.lianjia.com/chuzu/gz/zufang/GZ2170824566249889792.html,81,3000,元/月,棠安公安宿舍,整租
5c7220d8397be4c5251ca0e7,1,2,越秀南,广州,越秀,316.0,东南,1,,德政南路 2室1厅 3800元https://m.lianjia.com/chuzu/gz/zufang/GZ2159908113665228800.html,80,3800,元/月,德政南路,整租
5c71bead397be4c5251bc387,1,2,淘金,广州,越秀,363.0,南 北,1,近地铁,整租 · 淘金路 2室1厅 3900元https://m.lianjia.com/chuzu/gz/zufang/GZ2172882776309628928.html,40,3900,元/月,淘金路,整租
5c7240e7397be4c5251cf31c,1,3,市桥,广州,番禺,,南,1,,长堤西路 3室1厅 2500元https://m.lianjia.com/chuzu/gz/zufang/GZ2172248550828670976.html,135,2500,元/月,长堤西路,整租
5c71f5df397be4c5251c3681,1,1,黄埔区府,广州,天河,,东南,1,独栋公寓 拎包入住 近地铁,职业房东 寓见你青年公寓 大沙地一室一厅直租https://m.lianjia.com/chuzu/gz/apartment/layout/81616.html,45,1200-1400,元/月,,整租
5c71fefa397be4c5251c43e4,2,4,科学城,广州,增城,411.0,南,2,近地铁,保利香雪山  四房两厅  业主诚心出租https://m.lianjia.com/chuzu/gz/zufang/GZ2104311279216246784.html,178,7800,元/月,保利香雪山花园,整租
5c726245397be4c5251d47f9,2,4,白江,广州,增城,492.0,北,2,近地铁,东方名都 4室2厅 2800元https://m.lianjia.com/chuzu/gz/zufang/GZ2136949572260331520.html,118,2800,元/月,东方名都,整租
5c725e6c397be4c5251d3d6c,1,2,新市,广州,白云,,东南,1,随时看房,京华雅居 2室1厅 1600元https://m.lianjia.com/chuzu/gz/zufang/GZ2125790150583140352.html,50,1600,元/月,京华雅居,整租
5c7217f7397be4c5251c8b4e,1,2,机场路,广州,白云,,东南,1,随时看房,粮油宿舍 2室1厅 2500元https://m.lianjia.com/chuzu/gz/zufang/GZ2123051234578669568.html,70,2500,元/月,粮油宿舍,整租
5c726400397be4c5251d4d43,2,3,凤凰城,广州,增城,,东,2,随时看房,碧桂园凤凰城凤馨苑 3室2厅 2200元https://m.lianjia.com/chuzu/gz/zufang/GZ2151962325509210112.html,97,2200,元/月,碧桂园凤凰城凤馨苑,整租
5c724a72397be4c5251d1040,2,5,金沙洲,广州,白云,,南,2,,中海金沙湾 5室2厅 5200元https://m.lianjia.com/chuzu/gz/zufang/GZ2169991295316541440.html,198,5200,元/月,中海金沙湾,整租
5c72543c397be4c5251d25b9,2,1,罗冲围,广州,白云,,东南,1,,圣雅堡 1室1厅 2500元https://m.lianjia.com/chuzu/gz/zufang/GZ2156509253345476608.html,56,2500,元/月,圣雅堡,整租
5c71bd34397be4c5251bbec9,1,1,黄花岗,广州,越秀,589.0,东北,0,近地铁 随时看房,金悦东山国际公馆 1室0厅 3000元https://m.lianjia.com/chuzu/gz/zufang/GZ2149846244498358272.html,34,3000,元/月,金悦东山国际公馆,整租
5c7211d0397be4c5251c7ab2,1,1,珠江新城东,广州,天河,,东,1,近地铁,珠江太阳城广场裕富 1室1厅 6500元https://m.lianjia.com/chuzu/gz/zufang/GZ2177250140052520960.html,69,6500,元/月,珠江太阳城广场裕富,整租
5c71ad43397be4c5251b9abf,1,1,棠下,广州,天河,,东南,1,独栋公寓,职业房东 三新公寓6栋 2号上房https://m.lianjia.com/chuzu/gz/apartment/layout/13160.html,50,1280,元/月,,整租
5c71bddb397be4c5251bc0db,1,2,北京路,广州,越秀,531.0,南,1,近地铁,低层两房，近西门口地铁站。方便https://m.lianjia.com/chuzu/gz/zufang/GZ2071426975267815424.html,60,3500,元/月,北京路仙湖街,整租
5c7249eb397be4c5251d0e8a,1,2,金沙洲,广州,白云,,东北,1,随时看房,整租 · 金名都东区 2室1厅 3000元https://m.lianjia.com/chuzu/gz/zufang/GZ2174650372843913216.html,78,3000,元/月,金名都东区,整租
5c72160a397be4c5251c85f8,1,1,东山口,广州,越秀,348.0,东,1,,龟岗四马路 1室1厅 1700元https://m.lianjia.com/chuzu/gz/zufang/GZ2179481343191425024.html,22,1700,元/月,龟岗四马路,整租
5c726d5c397be4c5251d6356,1,3,新塘南,广州,增城,,南,2,,大型社区 绿化美 人气旺 精装修带家私齐 温馨住家https://m.lianjia.com/chuzu/gz/zufang/GZ2167845470230290432.html,90,2200,元/月,锦绣新天地,整租
5c7205c4397be4c5251c5802,1,4,沙太北,广州,白云,,东,1,,沙太路 四房一厅 家电齐https://m.lianjia.com/chuzu/gz/zufang/GZ2175307056456663040.html,110,3000,元/月,金湖大厦,整租
5c723226397be4c5251cc9c6,1,1,同福,广州,海珠,821.0,东南,1,随时看房,大单间，可以住三个人，房子够大，够高https://m.lianjia.com/chuzu/gz/zufang/GZ2141108857496141824.html,35,1800,元/月,同福西路,整租
